
[Name]
IGV Blade

[Data]
X [ m ], Y [ m ], Z [ m ]
1.56394839e-02, 2.50677109e-01, 8.32467922e-04
1.64289437e-02, 2.51446337e-01, 7.81934359e-04
1.72035508e-02, 2.52200872e-01, 7.28596351e-04
1.79586988e-02, 2.52936095e-01, 6.73234055e-04
1.86865870e-02, 2.53644675e-01, 6.16920937e-04
1.93745531e-02, 2.54314095e-01, 5.61196823e-04
2.00025029e-02, 2.54924715e-01, 5.08349971e-04
1.50852674e-03, 2.37363562e-01, 5.36184816e-04
2.00989074e-03, 2.37889290e-01, 6.08941657e-04
2.56847544e-03, 2.38475889e-01, 6.83120335e-04
3.18832393e-03, 2.39099711e-01, 7.56986090e-04
3.85109778e-03, 2.39757925e-01, 8.25976836e-04
4.54465300e-03, 2.40446508e-01, 8.87245929e-04
5.27056027e-03, 2.41152510e-01, 9.39980615e-04
6.01819716e-03, 2.41877601e-01, 9.82668949e-04
6.78220578e-03, 2.42618412e-01, 1.01495406e-03
7.56010180e-03, 2.43372336e-01, 1.03700673e-03
8.34865123e-03, 2.44136497e-01, 1.04926515e-03
9.14515648e-03, 2.44907901e-01, 1.05232978e-03
9.94747411e-03, 2.45684832e-01, 1.04691379e-03
1.07546085e-02, 2.46466085e-01, 1.03374117e-03
1.15645817e-02, 2.47249901e-01, 1.01347838e-03
1.23759890e-02, 2.48034954e-01, 9.86788655e-04
1.31875062e-02, 2.48819813e-01, 9.54253133e-04
1.39968339e-02, 2.49602556e-01, 9.16450925e-04
1.48021234e-02, 2.50380963e-01, 8.73923593e-04
1.55999707e-02, 2.51152098e-01, 8.27281037e-04
1.63869299e-02, 2.51912206e-01, 7.77165114e-04
1.71590652e-02, 2.52657682e-01, 7.24268786e-04
1.79118197e-02, 2.53383934e-01, 6.69365400e-04
1.86373852e-02, 2.54083782e-01, 6.13521028e-04
1.93232279e-02, 2.54744947e-01, 5.58255473e-04
1.99493915e-02, 2.55348027e-01, 5.05834876e-04
1.51278556e-03, 2.38121882e-01, 5.32854174e-04
2.01309868e-03, 2.38641292e-01, 6.04878529e-04
2.57005496e-03, 2.39220604e-01, 6.78254641e-04
3.18769808e-03, 2.39836529e-01, 7.51289132e-04
3.84793780e-03, 2.40486369e-01, 8.19502573e-04
4.53882944e-03, 2.41166085e-01, 8.80101754e-04
5.26186265e-03, 2.41862983e-01, 9.32277064e-04
6.00656169e-03, 2.42578626e-01, 9.74537455e-04
6.76759798e-03, 2.43309781e-01, 1.00652035e-03
7.54251517e-03, 2.44053751e-01, 1.02839153e-03
8.32806528e-03, 2.44807810e-01, 1.04057323e-03
9.12159774e-03, 2.45568886e-01, 1.04365754e-03
9.92093328e-03, 2.46335387e-01, 1.03834318e-03
1.07250866e-02, 2.47106045e-01, 1.02534622e-03
1.15320655e-02, 2.47879148e-01, 1.00532314e-03
1.23404553e-02, 2.48653367e-01, 9.78932017e-04
1.31489402e-02, 2.49427304e-01, 9.46748012e-04
1.39551973e-02, 2.50199080e-01, 9.09346621e-04
1.47574218e-02, 2.50966430e-01, 8.67265218e-04
1.55521901e-02, 2.51726538e-01, 8.21108930e-04
1.63361263e-02, 2.52475590e-01, 7.71512976e-04
1.71052739e-02, 2.53210098e-01, 7.19165197e-04
1.78551376e-02, 2.53925502e-01, 6.64830732e-04
1.85778979e-02, 2.54614830e-01, 6.09566167e-04
1.92611720e-02, 2.55266011e-01, 5.54867205e-04
1.98851768e-02, 2.55859971e-01, 5.02972805e-04
1.51864532e-03, 2.39038974e-01, 5.28866833e-04
2.01789197e-03, 2.39550725e-01, 6.00018771e-04
2.57311086e-03, 2.40121290e-01, 6.72437018e-04
3.18834255e-03, 2.40727678e-01, 7.44476798e-04
3.84579063e-03, 2.41367429e-01, 8.11757520e-04
4.53374861e-03, 2.42036447e-01, 8.71548778e-04
5.25360508e-03, 2.42722377e-01, 9.23045154e-04
5.99505939e-03, 2.43426651e-01, 9.64780920e-04
6.75281696e-03, 2.44146138e-01, 9.96387796e-04
7.52445171e-03, 2.44878128e-01, 1.01802580e-03
8.30669887e-03, 2.45620012e-01, 1.03009830e-03
9.09696519e-03, 2.46368647e-01, 1.03318831e-03
9.89302341e-03, 2.47122571e-01, 1.02797709e-03
1.06939031e-02, 2.47880444e-01, 1.01517141e-03
1.14975944e-02, 2.48640627e-01, 9.95415961e-04
1.23026669e-02, 2.49401823e-01, 9.69362911e-04
1.31078186e-02, 2.50162572e-01, 9.37579665e-04
1.39106940e-02, 2.50921130e-01, 9.00637882e-04
1.47095444e-02, 2.51675129e-01, 8.59069463e-04
1.55009180e-02, 2.52421975e-01, 8.13473831e-04
1.62815209e-02, 2.53157675e-01, 7.64478405e-04
1.70473736e-02, 2.53878981e-01, 7.12765031e-04
1.77940484e-02, 2.54581302e-01, 6.59089012e-04
1.85137149e-02, 2.55257964e-01, 6.04495697e-04
1.91941652e-02, 2.55897105e-01, 5.50452969e-04
1.98158156e-02, 2.56480068e-01, 4.99167596e-04
1.52580894e-03, 2.40148053e-01, 5.24439267e-04
2.02395697e-03, 2.40650594e-01, 5.94606332e-04
2.57729250e-03, 2.41210580e-01, 6.65936095e-04
3.18985549e-03, 2.41805509e-01, 7.36786751e-04
3.84419737e-03, 2.42433071e-01, 8.02913506e-04
4.52889362e-03, 2.43089229e-01, 8.61678505e-04
5.24520781e-03, 2.43761927e-01, 9.12253279e-04
5.98304858e-03, 2.44452506e-01, 9.53234616e-04
6.73715631e-03, 2.45157927e-01, 9.84261977e-04
7.50523014e-03, 2.45875373e-01, 1.00550347e-03
8.28380883e-03, 2.46602580e-01, 1.01744104e-03
9.07045230e-03, 2.47336194e-01, 1.02053303e-03
9.86288022e-03, 2.48074949e-01, 1.01544021e-03
1.06601333e-02, 2.48817399e-01, 1.00285804e-03
1.14601832e-02, 2.49562010e-01, 9.83417267e-04
1.22615825e-02, 2.50307471e-01, 9.57762823e-04
1.30630387e-02, 2.51052320e-01, 9.26452514e-04
1.38621619e-02, 2.51794934e-01, 8.90054158e-04
1.46572646e-02, 2.52532870e-01, 8.49092030e-04
1.54448655e-02, 2.53263652e-01, 8.04158917e-04
1.62217654e-02, 2.53983319e-01, 7.55873218e-04
1.69839561e-02, 2.54688650e-01, 7.04909209e-04
1.77270900e-02, 2.55375236e-01, 6.52010494e-04
1.84433088e-02, 2.56036580e-01, 5.98282670e-04
1.91206429e-02, 2.56661236e-01, 5.45087794e-04
1.97397117e-02, 2.57230908e-01, 4.94577049e-04
1.53448130e-03, 2.41489321e-01, 5.20082365e-04
2.03127624e-03, 2.41980687e-01, 5.89256699e-04
2.58231955e-03, 2.42527902e-01, 6.59479643e-04
3.19164456e-03, 2.43108913e-01, 7.29162595e-04
3.84222716e-03, 2.43721768e-01, 7.94180785e-04
4.52298438e-03, 2.44362339e-01, 8.51985998e-04
5.23502799e-03, 2.45019034e-01, 9.01748193e-04
5.96851716e-03, 2.45693028e-01, 9.42101062e-04
6.71823462e-03, 2.46381447e-01, 9.72682203e-04
7.48183765e-03, 2.47081503e-01, 9.93639114e-04
8.25600699e-03, 2.47790933e-01, 1.00534549e-03
9.03829560e-03, 2.48506397e-01, 1.00835878e-03
9.82635655e-03, 2.49226794e-01, 1.00332627e-03
1.06192483e-02, 2.49950588e-01, 9.90935368e-04
1.14149172e-02, 2.50676364e-01, 9.71803325e-04
1.22118937e-02, 2.51402795e-01, 9.46559187e-04
1.30089018e-02, 2.52128392e-01, 9.15766286e-04
1.38035081e-02, 2.52851754e-01, 8.79974337e-04
1.45941004e-02, 2.53570199e-01, 8.39696615e-04
